Seed,Density,Execution Time,Path Length,Visited,,,,,,,,Computational
188,0.3685,16.93558693,92,2492,,,,,,,,147.1457712
190,0.3475,26.94272995,94,3528,,,,,,,,130.9444146
191,0.388,18.57566833,90,2534,,,,,,,,136.415011
192,0.3675,21.38280869,92,3092,,,,,,,,144.6021449
193,0.3855,15.50292969,90,2259,,,,,,,,145.7143937
195,0.348,25.95615387,100,3795,,,,,,,,146.2081023
196,0.377,17.93861389,92,2633,,,,,,,,146.7783417
197,0.3575,18.6817646,90,2743,,,,,,,,146.8276717
198,0.424,18.08834076,90,2611,,,,,,,,144.3471258
199,0.385,18.78285408,96,2683,,,,,,,,142.8430412
203,0.3885,17.35091209,92,2510,,,,,,,,144.6609831
205,0.3275,16.37887955,90,2346,,,,,,,,143.2332409
208,0.3325,24.05691147,100,3483,,,,,,,,144.7816776
212,0.361,26.91221237,102,3901,,,,,,,,144.95278
215,0.398,15.67769051,94,2300,,,,,,,,146.7052815
219,0.4295,13.64660263,110,1988,,,,,,,,145.6772835
223,0.372,17.33183861,90,2527,,,,,,,,145.8010346
224,0.367,18.74756813,92,2688,,,,,,,,143.3785962
226,0.4775,19.37699318,96,2808,,,,,,,,144.9141244
227,0.3985,20.15042305,96,2913,,,,,,,,144.5627217
229,0.391,17.65823364,96,2606,,,,,,,,147.5798799
230,0.3775,18.08929443,96,2571,,,,,,,,142.1282632
231,0.3505,17.00353622,90,2481,,,,,,,,145.9108251
232,0.449,17.41504669,94,2525,,,,,,,,144.9895625
234,0.3545,15.74921608,90,2238,,,,,,,,142.1023109
235,0.4045,18.59235764,92,2676,,,,,,,,143.9301057
236,0.452,18.93091202,98,2695,,,,,,,,142.3597552
238,0.5185,15.31243324,90,2225,,,,,,,,145.306756
239,0.383,22.83716202,94,3328,,,,,,,,145.7273893
241,0.4245,21.18968964,96,3056,,,,,,,,144.2210836
244,0.345,18.63980293,90,2633,,,,,,,,141.2568582
245,0.3785,17.31085777,90,2484,,,,,,,,143.4937559
246,0.4125,19.09279823,94,2468,,,,,,,,129.2633992
249,0.3775,17.17352867,90,2532,,,,,,,,147.4362112
250,0.378,15.71273804,90,2281,,,,,,,,145.1688429
252,0.379,21.14582062,98,2997,,,,,,,,141.7301345
254,0.3895,12.43519783,90,1804,,,,,,,,145.0720788
256,0.394,19.66023445,94,2822,,,,,,,,143.5384714
258,0.367,15.96355438,94,2343,,,,,,,,146.7718244
259,0.4535,17.4472332,90,2509,,,,,,,,143.8050361
260,0.604,13.00740242,92,1900,,,,,,,,146.070671
262,0.4425,15.31362534,108,2264,,,,,,,,147.8421961
264,0.4035,18.69940758,90,2669,,,,,,,,142.7317945
265,0.382,14.97650146,96,2170,,,,,,,,144.8936526
269,0.3845,16.77036285,92,2456,,,,,,,,146.4488289
270,0.4295,18.87178421,90,2686,,,,,,,,142.3288848
271,0.358,19.06061172,90,2714,,,,,,,,142.3878751
272,0.404,17.51899719,90,2546,,,,,,,,145.327953
274,0.3755,14.73140717,90,2143,,,,,,,,145.4715069
276,0.5435,15.74063301,92,2310,,,,,,,,146.7539456
277,0.4145,16.36219025,90,2365,,,,,,,,144.5405513
279,0.3565,17.19808578,90,2491,,,,,,,,144.8417011
281,0.389,17.68517494,90,2572,,,,,,,,145.432545
283,0.441,20.54738998,92,2433,,,,,,,,118.4091995
288,0.408,20.82180977,94,2977,,,,,,,,142.975084
