Seed,Density,Execution ,Path Length,Visited,,,,,,,,Computational,time mean,time median,op mean,op median,time stdv,op stdv,,,Execution Time
1877,0.473,454.5433521,0,64,,,,,,,,14.08006513,,,,,,,45454.33521,,4.545433521
1878,0.422,362.5433445,0,51,,,,,,,,14.06728348,,,,,,,36254.33445,,3.625433445
1879,0.345,161.3306999,14,62,,,,,,,,38.43037936,,,,,,,16133.06999,,1.613306999
1880,0.4215,376.9443035,0,79,,,,,,,,20.95800341,,,,,,,37694.43035,,3.769443035
1881,0.4425,380.7127476,0,31,,,,,,,,8.142622015,,,,,,,38071.27476,,3.807127476
1883,0.405,368.0377007,0,79,,,,,,,,21.46519225,,,,,,,36803.77007,,3.680377007
1886,0.365,339.4589424,0,85,,,,,,,,25.03984706,,,,,,,33945.89424,,3.394589424
1887,0.36,345.4589844,0,90,,,,,,,,26.05229682,,,,,,,34545.89844,,3.454589844
1888,0.398,353.5432816,0,99,,,,,,,,28.00222919,,,,,,,35354.32816,,3.535432816
1890,0.357,319.7813034,0,87,,,,,,,,27.20609338,,,,,,,31978.13034,,3.197813034
1891,0.3685,271.3809013,0,11,,,,,,,,4.053343455,,,,,,,27138.09013,,2.713809013
1892,0.447,456.7728043,0,60,,,,,,,,13.13563317,,,,,,,45677.28043,,4.567728043
1893,0.3605,305.3891659,0,45,,,,,,,,14.7352968,,,,,,,30538.91659,,3.053891659
1896,0.409,232.9113483,32,55,,,,,,,,23.61413491,,,,,,,23291.13483,,2.329113483
1897,0.417,319.1423416,25,94,,,,,,,,29.45394194,,,,,,,31914.23416,,3.191423416
1901,0.422,474.7488499,0,113,,,,,,,,23.80205871,,,,,,,47474.88499,,4.747488499
1904,0.397,339.2734528,0,52,,,,,,,,15.32686969,,,,,,,33927.34528,,3.392734528
1905,0.3855,398.0228901,4,114,,,,,,,,28.64156882,,,,,,,39802.28901,,3.980228901
1909,0.368,226.8671989,16,72,,,,,,,,31.73662845,,,,,,,22686.71989,,2.268671989
1910,0.443,480.8399677,0,78,,,,,,,,16.22161327,,,,,,,48083.99677,,4.808399677
1912,0.4105,239.4177914,29,64,,,,,,,,26.73151382,,,,,,,23941.77914,,2.394177914
1914,0.404,374.7518063,0,28,,,,,,,,7.471611752,,,,,,,37475.18063,,3.747518063
1920,0.3955,278.4295082,25,60,,,,,,,,21.54944007,,,,,,,27842.95082,,2.784295082
1922,0.361,323.3458996,0,91,,,,,,,,28.14323612,,,,,,,32334.58996,,3.233458996
1924,0.406,418.9379215,11,69,,,,,,,,16.47022064,,,,,,,41893.79215,,4.189379215
1925,0.45,432.5985909,0,32,,,,,,,,7.397157705,,,,,,,43259.85909,,4.325985909
1927,0.428,479.3457985,0,83,,,,,,,,17.31526599,,,,,,,47934.57985,,4.793457985
1929,0.402,429.6512604,0,72,,,,,,,,16.75777698,,,,,,,42965.12604,,4.296512604
