Seed,Density,Execution Time,Path Length,Visited,min path,max path,min visited,max visited,norm path,norm visited,cost,optimality
1237,0.432,24.35851097,90,3771,,,,,0,0.764130897,0.229239269,4.362235328
1239,0.4885,21.08669281,90,3325,,,,,0,0.574585635,0.172375691,5.801248397
1241,0.3875,24.71780777,90,3874,,,,,0,0.807904802,0.242371441,4.125881627
1243,0.3975,25.37751198,90,3953,,,,,0,0.841478963,0.252443689,3.96126377
1244,0.3995,24.63150024,90,3834,,,,,0,0.790905227,0.237271568,4.214562212
1245,0.362,26.45754814,90,4103,,,,,0,0.905227369,0.271568211,3.68230256
1246,0.387,24.97673035,92,3903,,,,,0.066666667,0.820229494,0.292735515,3.416041214
1250,0.4085,23.98371696,90,3745,,,,,0,0.753081173,0.225924352,4.426240754
1251,0.4475,22.90463448,90,3563,,,,,0,0.675733107,0.202719932,4.932889713
1252,0.4445,23.55623245,92,3653,,,,,0.066666667,0.71398215,0.260861312,3.833439921
1254,0.3805,24.68371391,90,3859,,,,,0,0.801529962,0.240458989,4.158696031
1255,0.349,26.07750893,90,4064,,,,,0,0.888652784,0.266595835,3.750982264
1257,0.41,24.548769,98,3832,,,,,0.266666667,0.790055249,0.423683241,2.360248276
1258,0.353,26.21746063,96,4072,,,,,0.2,0.892052699,0.40761581,2.453284498
1259,0.4465,22.78780937,94,3516,,,,,0.133333333,0.655758606,0.290060915,3.447539811
1260,0.413,21.76713943,92,3398,,,,,0.066666667,0.60560986,0.228349625,4.379230413
1263,0.377,25.55608749,90,3993,,,,,0,0.858478538,0.257543561,3.882823207
1267,0.417,23.4746933,90,3650,,,,,0,0.712707182,0.213812155,4.67698071
1270,0.365,26.30758286,96,4112,,,,,0.2,0.909052274,0.412715682,2.422969663
1271,0.4375,23.03504944,94,3605,,,,,0.133333333,0.69358266,0.301408131,3.317749516
1276,0.3525,26.68595314,94,4182,,,,,0.133333333,0.93880153,0.374973792,2.666845933
1277,0.359,25.71845055,90,4016,,,,,0,0.868253294,0.260475988,3.83911073
1278,0.408,23.33807945,96,3676,,,,,0.2,0.723756906,0.357127072,2.800115922
1279,0.397,24.88636971,98,3900,,,,,0.266666667,0.818954526,0.432353025,2.312919375
